product,manufacturer,revenue,cost,markup,contributionMargin,contributionMarginPct
Smartphone,TechCorp,750000,500000,50,250000,33.33
Laptop,CompuTech,1200000,800000,50,400000,33.33
Tablet,DeviceWorks,500000,350000,43,150000,30.00
Smartwatch,TimeTech,300000,200000,50,100000,33.33
Camera,PhotoMakers,450000,300000,50,150000,33.33
Printer,PrintMasters,250000,180000,39,70000,28.00
Router,NetGear,400000,280000,43,120000,30.00
Monitor,DisplayTech,550000,400000,38,150000,27.27
Keyboard,KeyMakers,200000,140000,43,60000,30.00
Mouse,ClickCorp,150000,100000,50,50000,33.33
Headphones,AudioWorks,350000,250000,40,100000,28.57
Speakers,SoundTech,400000,280000,43,120000,30.00
SmartTV,VisionCorp,800000,600000,33,200000,25.00
GameConsole,PlayMasters,750000,500000,50,250000,33.33
VRHeadset,ImmersiveTech,500000,350000,43,150000,30.00
Drone,FlyHigh,600000,420000,43,180000,30.00
SmartHomeHub,HomeTech,300000,200000,50,100000,33.33
WearableFitnessTracker,FitWorks,250000,180000,39,70000,28.00
EReader,BookTech,200000,140000,43,60000,30.00
ExternalHardDrive,StorageMasters,300000,200000,50,100000,33.33
USBFlashDrive,StorageCorp,150000,100000,50,50000,33.33
SmartLightBulb,BrightTech,100000,70000,43,30000,30.00
WirelessCharger,ChargeMasters,200000,140000,43,60000,30.00
PowerBank,BatteryWorks,250000,180000,39,70000,28.00
ElectricScooter,MoveTech,450000,300000,50,150000,33.33
FitnessEquipment,FitnessMakers,500000,350000,43,150000,30.00
HomeSecuritySystem,SecureTech,600000,420000,43,180000,30.00
3DPrinter,PrintInnovators,750000,500000,50,250000,33.33
SmartThermostat,ClimateCorp,300000,200000,50,100000,33.33
BluetoothTracker,LocateTech,150000,100000,50,50000,33.33
PortableSpeaker,SoundMasters,350000,250000,40,100000,28.57
GamingLaptop,GameTech,1200000,800000,50,400000,33.33
GraphicTablet,ArtWorks,500000,350000,43,150000,30.00
SmartGlasses,VisionTech,400000,280000,43,120000,30.00
RobotVacuum,CleanCorp,550000,400000,38,150000,27.27
ElectricBicycle,EcoRiders,800000,600000,33,200000,25.00
